credit,contact,q_contact,taxcode,company,address1,address2,city,addrstate,zip,phone,phone2,email,taxdist,st_company,st_address1,st_address2,st_city,st_addrstate,st_zip
0.0000,"Renee Lachine","Renee Lachine"," ","American Computer Products","443 Brannan Street","","San Francisco","CA","94110","714/441-1200","","rlachine@acp.com","SNFR","American Computer Products","443 Brannan Street","","San Francisco","CA","94110"
0.0000,"Susan T. Andrews","Susan T. Andrews"," ","Addison Dutton and Grant Inc.","Main Offices","1334 New Park Mall","Palo Alto","CA","94306","415/333-5678","","sandrews@prof.com","SNCL","Addison Dutton and Grant Inc.","Main Offices","1334 New Park Mall","Palo Alto","CA","94306"
0.0000,"Jerry Penalta","Jerry Penalta"," ","Atlantic Edison","440 Electric Avenue","","Claremont","NH","14086","508/734-1111","","jpenalta@edison.com","","Atlantic Edison","440 Electric Avenue","","Claremont","NH","14086"
0.0000,"David Culligan","David Culligan"," ","Argentina Hanover Corporation","Av. Cramer 2999","","Buenos Aires","","1428","541/545-9407","","womanfried@ciudad.com.ar","SNFR","Argentina Hanover Corporation","Av. Cramer 2999","","Buenos Aires","","1428"
0.0000,"Henry Grover","Henry Grover"," ","Albany Hospital supplies","1500 Worthington Avenue","Suite 2334","Santa Clara","CA","95052","408/345-7723","","hgrover@ahs.com","SNCL","Albany Hospital supplies","1500 Worthington Avenue","Suite 2334","Santa Clara","CA","95052"
0.0000,"Hank Ehrenberg","Hank Ehrenberg"," ","Atlanta Trust and Savings","Main Office","2241 Polygon Drive","San Jose","CA","95131","408/941-2222","","hehrenberg@ats.com","SNCL","Atlanta Trust and Savings","Main Office","2241 Polygon Drive","San Jose","CA","95131"
0.0000,"Mary Anderson","Mary Anderson"," ","Bay Business Enterprises","","11324 Soquel Way","Santa Cruz","CA","94235","408/923-4587","","manderson@bbe.com","SNCZ","Bay Business Enterprises","","11324 Soquel Way","Santa Cruz","CA","94235"
0.0000,"James Devino","James Devino"," ","Bellavista Computer Arts","Main Office","100 DaVinci","Rome","","88Z254","111/777-3333","","jdevino@bca.da","","Bellavista Computer Arts","Main Office","100 DaVinci","Rome","","88Z254"
0.0000,"Howard Griggs","Howard Griggs"," ","Blowtorch Steamshovel and Trowel","","999 Middle Street","San Francisco","CA","94105","415/989-8733","","hgriggs@bst.com","SNFR","Blowtorch Steamshovel and Trowel","","999 Middle Street","San Francisco","CA","94105"
0.0000,"Gearge Putts","Gearge Putts"," ","Florida Computing Resources","","19 Golf View Lane","Springhill","FL","34606-3288","352/666-4565","","gputts@fcom.com","SPRG","Florida Computing Resources","","19 Golf View Lane","Springhill","FL","34606-3288"
0.0000,"Jose Luis Martinez","Jose Luis Martinez"," ","Frontera Group Computers","","1120 Plaza Avenida","Rio Grande City","TX","78582","210/487-5178","","jmartinez@fgc.com","","Frontera Group Computers","","1120 Plaza Avenida","Rio Grande City","TX","78582"
0.0000,"Brian Steel","Brian Steel"," ","Hawkins Hardware and Software","","505 Stevens Creek","San Jose","CA","94234","408/745-9874","","bsteel@hhs.com","SNCL","Hawkins Hardware and Software","","505 Stevens Creek","San Jose","CA","94234"
0.0000,"Jeff Smith","Jeff Smith"," ","Hughes Software","","84397 Creek Side","Victoria","BC","83484","011/823-3878","","jsmith@hughes.com","","Hughes Software","","84397 Creek Side","Victoria","BC","83484"
0.0000,"Robert Goodman","Robert Goodman"," ","International Business Industries","126 Ave. des Champs-Elysees","","Paris","","75008","114/952-5354","","rgoodman@ibi.com","","International Business Industries","126 Ave. des Champs-Elysees","","Paris","","75008"
0.0000,"Wesley Fulano","Wesley Fulano"," ","Mega Computer Games Publishing","25 Market Street","Suite 110","San Francisco","CA","96951","415/555-5785","","wfulano@mega.com","SNFR","Mega Computer Games Publishing","25 Market Street","Suite 110","San Francisco","CA","96951"
0.0000,"Mark Stone","Mark Stone"," ","Phoenix Computers","12 Thousand Oaks","Uppr","Phoenix","AZ","85032","602/404-3232","","mstone@phoenix.com","","Phoenix Computers","12 Thousand Oaks","Uppr","Phoenix","AZ","85032"
0.0000,"Leslie Sutton","Leslie Sutton"," ","Super Micro Computer","38984 Fair Oaks","Suite #304","Sunnyvale","CA","94354","408/774-3555","","lsutton@micro.com","SNCL","Super Micro Computer","38984 Fair Oaks","Suite #304","Sunnyvale","CA","94354"
